id,recipe_number,recipe_name,short_name,station,menu_portion_size,menu_portion_weight_g,gtin,sell_price,kcal_per_100g,color,kcal,fat_g,carbohydrates_g,total_sugars_g,protein_g,nutrition_summary,embedding_text
food_4539_886721033462,4539,"HC Garlicbread Sticks, 1.75 oz",Garlic Sticks,Main Dish- Side,1 each,49.612,886721033462,1.11,349.9979844,ORANGE,173.641,8.24,20.698,1.831,4.148,"Kcal/100g: 349.9979844, Kcal: 173.641, Fat (g): 8.24, Carbohydrates (g): 20.698, Sugars (g): 1.831, Protein (g): 4.148","Recipe HC Garlicbread Sticks, 1.75 oz. Short name Garlic Sticks. Station Main Dish- Side. Portion 1 each with weight 49.612 grams. Sell price 1.11 dollars. Color tag ORANGE. Kcal/100g: 349.9979844, Kcal: 173.641, Fat (g): 8.24, Carbohydrates (g): 20.698, Sugars (g): 1.831, Protein (g): 4.148."
food_86902_886721830252,86902,EUR: Korean Broccoli,korean broccoli,Asian- Side,1 cup,280.747,886721830252,1.93,110.6615565,GREEN,310.679,23.247,23.019,9.295,7.61,"Kcal/100g: 110.6615565, Kcal: 310.679, Fat (g): 23.247, Carbohydrates (g): 23.019, Sugars (g): 9.295, Protein (g): 7.61","Recipe EUR: Korean Broccoli. Short name korean broccoli. Station Asian- Side. Portion 1 cup with weight 280.747 grams. Sell price 1.93 dollars. Color tag GREEN. Kcal/100g: 110.6615565, Kcal: 310.679, Fat (g): 23.247, Carbohydrates (g): 23.019, Sugars (g): 9.295, Protein (g): 7.61."
food_16881_886721078951,16881,HC Sauteed Swiss Chard,Swiss Chard,Main Dish- Sides,1 cup,273.011,886721078951,1.98,23.71039995,GREEN,64.732,2.621,9.664,3.319,2.831,"Kcal/100g: 23.71039995, Kcal: 64.732, Fat (g): 2.621, Carbohydrates (g): 9.664, Sugars (g): 3.319, Protein (g): 2.831","Recipe HC Sauteed Swiss Chard. Short name Swiss Chard. Station Main Dish- Sides. Portion 1 cup with weight 273.011 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 23.71039995, Kcal: 64.732, Fat (g): 2.621, Carbohydrates (g): 9.664, Sugars (g): 3.319, Protein (g): 2.831."
food_8122_2_886721091431,8122.2,EUR: Roasted Zucchini,roasted zucchini,Main Dish- Sides,1 cup,175.289,886721091431,1.98,31.38245982,GREEN,55.01,3.458,5.364,4.309,2.086,"Kcal/100g: 31.38245982, Kcal: 55.01, Fat (g): 3.458, Carbohydrates (g): 5.364, Sugars (g): 4.309, Protein (g): 2.086","Recipe EUR: Roasted Zucchini. Short name roasted zucchini. Station Main Dish- Sides. Portion 1 cup with weight 175.289 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 31.38245982, Kcal: 55.01, Fat (g): 3.458, Carbohydrates (g): 5.364, Sugars (g): 4.309, Protein (g): 2.086."
food_1829_3_886721463672,1829.3,HC Seasoned Braised Cabbage,Braised Cabbage,Main Dish- Sides,1 cup,332.044,886721463672,1.98,34.94024888,GREEN,116.017,4.939,17.386,8.979,3.413,"Kcal/100g: 34.94024888, Kcal: 116.017, Fat (g): 4.939, Carbohydrates (g): 17.386, Sugars (g): 8.979, Protein (g): 3.413","Recipe HC Seasoned Braised Cabbage. Short name Braised Cabbage. Station Main Dish- Sides. Portion 1 cup with weight 332.044 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 34.94024888, Kcal: 116.017, Fat (g): 4.939, Carbohydrates (g): 17.386, Sugars (g): 8.979, Protein (g): 3.413."
food_9002_1_886721090830,9002.1,EUR: Steamed Green Beans,steamed green beans,Main Dish- Sides,1 cup,181.768,886721090830,1.98,34.99515866,GREEN,63.61,0.509,14.325,6.586,3.434,"Kcal/100g: 34.99515866, Kcal: 63.61, Fat (g): 0.509, Carbohydrates (g): 14.325, Sugars (g): 6.586, Protein (g): 3.434","Recipe EUR: Steamed Green Beans. Short name steamed green beans. Station Main Dish- Sides. Portion 1 cup with weight 181.768 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 34.99515866, Kcal: 63.61, Fat (g): 0.509, Carbohydrates (g): 14.325, Sugars (g): 6.586, Protein (g): 3.434."
food_1829_886721047032,1829,HC Seasoned Braised Cabbage,Braised Cabbage,Main Dish- Sides,1 cup,330.744,886721047032,1.98,35.42135307,GREEN,117.154,4.953,17.661,8.969,3.466,"Kcal/100g: 35.42135307, Kcal: 117.154, Fat (g): 4.953, Carbohydrates (g): 17.661, Sugars (g): 8.969, Protein (g): 3.466","Recipe HC Seasoned Braised Cabbage. Short name Braised Cabbage. Station Main Dish- Sides. Portion 1 cup with weight 330.744 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 35.42135307, Kcal: 117.154, Fat (g): 4.953, Carbohydrates (g): 17.661, Sugars (g): 8.969, Protein (g): 3.466."
food_8122_12_194306015032,8122.12,HC Roasted Yellow Squash,Roasted Yellow Squash,Main Dish- Sides,1 cup,187.146,194306015032,1.98,39.47292488,GREEN,73.872,4.861,7.258,5.228,1.868,"Kcal/100g: 39.47292488, Kcal: 73.872, Fat (g): 4.861, Carbohydrates (g): 7.258, Sugars (g): 5.228, Protein (g): 1.868","Recipe HC Roasted Yellow Squash. Short name Roasted Yellow Squash. Station Main Dish- Sides. Portion 1 cup with weight 187.146 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 39.47292488, Kcal: 73.872, Fat (g): 4.861, Carbohydrates (g): 7.258, Sugars (g): 5.228, Protein (g): 1.868."
food_1016_8_886721390985,1016.8,Canteen BMW: Roasted Summer Squash with Onion & Basil,roasted summer squash medley,Main Dish- Sides,1 cup,212.788,886721390985,1.98,40.74477884,GREEN,86.7,5.095,9.642,6.184,2.384,"Kcal/100g: 40.74477884, Kcal: 86.7, Fat (g): 5.095, Carbohydrates (g): 9.642, Sugars (g): 6.184, Protein (g): 2.384","Recipe Canteen BMW: Roasted Summer Squash with Onion & Basil. Short name roasted summer squash medley. Station Main Dish- Sides. Portion 1 cup with weight 212.788 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 40.74477884, Kcal: 86.7, Fat (g): 5.095, Carbohydrates (g): 9.642, Sugars (g): 6.184, Protein (g): 2.384."
food_67376_886721494669,67376,Earth Table: Ratatouille,Ratatouille,Main Dish- Sides,1 cup,389.223,886721494669,1.98,43.17473531,GREEN,168.046,9.848,19.589,11.379,3.718,"Kcal/100g: 43.17473531, Kcal: 168.046, Fat (g): 9.848, Carbohydrates (g): 19.589, Sugars (g): 11.379, Protein (g): 3.718","Recipe Earth Table: Ratatouille. Short name Ratatouille. Station Main Dish- Sides. Portion 1 cup with weight 389.223 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 43.17473531, Kcal: 168.046, Fat (g): 9.848, Carbohydrates (g): 19.589, Sugars (g): 11.379, Protein (g): 3.718."
