Recipe Number,Recipe Name,Short Name,Station,Menu Portion Size,Menu Portion Weight(g),GTIN,Sell Price,Kcal/100g,COLOR,KCAL,FAT (g),CHO (g),Total Sugars (g),PRO (g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'4539,"HC Garlicbread Sticks, 1.75 oz",Garlic Sticks,Main Dish- Side,1 each,49.612,886721033462,$1.11 ,349.9979844,ORANGE,173.641,8.24,20.698,1.831,4.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'86902,EUR: Korean Broccoli,korean broccoli,Asian- Side,1 cup,280.747,886721830252,$1.93 ,110.6615565,GREEN,310.679,23.247,23.019,9.295,7.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'16881,HC Sauteed Swiss Chard,Swiss Chard,Main Dish- Sides,1 cup,273.011,886721078951,$1.98 ,23.71039995,GREEN,64.732,2.621,9.664,3.319,2.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'8122.2,EUR: Roasted Zucchini,roasted zucchini,Main Dish- Sides,1 cup,175.289,886721091431,$1.98 ,31.38245982,GREEN,55.01,3.458,5.364,4.309,2.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1829.3,HC Seasoned Braised Cabbage,Braised Cabbage,Main Dish- Sides,1 cup,332.044,886721463672,$1.98 ,34.94024888,GREEN,116.017,4.939,17.386,8.979+,3.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'9002.1,EUR: Steamed Green Beans,steamed green beans,Main Dish- Sides,1 cup,181.768,886721090830,$1.98 ,34.99515866,GREEN,63.61,0.509,14.325,6.586,3.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1829,HC Seasoned Braised Cabbage,Braised Cabbage,Main Dish- Sides,1 cup,330.744,886721047032,$1.98 ,35.42135307,GREEN,117.154,4.953,17.661,8.969+,3.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'8122.12,HC Roasted Yellow Squash,Roasted Yellow Squash,Main Dish- Sides,1 cup,187.146,194306015032,$1.98 ,39.47292488,GREEN,73.872,4.861,7.258,5.228,1.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1016.8,Canteen BMW: Roasted Summer Squash with Onion & Basil,roasted summer squash medley,Main Dish- Sides,1 cup,212.788,886721390985,$1.98 ,40.74477884,GREEN,86.7,5.095,9.642,6.184,2.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'67376,Earth Table: Ratatouille,Ratatouille,Main Dish- Sides,1 cup,389.223,886721494669,$1.98 ,43.17473531,GREEN,168.046,9.848,19.589,11.379+,3.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
